Date;Type;Platform;Units;Difficulty;Time Start;Time End;Temp1;Temp2
23/12/2022;Pairing;local;4;;;;;
26/12/2022;Pairing;local;6;;;;;
28/12/2022;Pairing;local;5;;;;;
29/12/2022;Pairing;local;1;;;;;
31/12/2022;Pairing;local;6;;;;;
03/01/2023;Pairing;local;4;;;;;
07/01/2023;Pairing;local;5;;;;;
09/01/2023;Studying;datacamp;1;;;;;
10/01/2023;Pairing;local;4;;;;;
17/01/2023;Pairing;local;5;;;;;
21/01/2023;Studying;datacamp;3;;;;;
22/01/2023;Studying;datacamp;1;;;;;
22/01/2023;Pairing;local;4;;;;;
23/01/2023;Studying;datacamp;1;;;;;
23/01/2023;Coding;exercism;2;;;;;
24/01/2023;Studying;local;3;;;;;
24/01/2023;Pairing;local;4;;;;;
25/01/2023;Studying;local;1;;;;;
26/01/2023;Studying;local;2;;;;;
26/01/2023;Coding;exercism;6;;;;;
27/01/2023;Studying;datacamp;2;;;;;
27/01/2023;Coding;exercism;5;;;;;
28/01/2023;Studying;datacamp;3;;;;;
28/01/2023;Pairing;local;5;;;;;
29/01/2023;Studying;datacamp;2;;;;;
31/01/2023;Studying;local;1;;;;;
02/02/2023;Studying;local;4;;;;;
03/02/2023;Studying;local;2;;;;;
03/02/2023;Studying;freecodecamp;3;Html ;;;;
03/02/2023;Coding;exercism;3;;;;;
04/02/2023;Studying;freecodecamp;3;Html ;;;;
05/02/2023;Pairing;local;4;;;;;
06/02/2023;Studying;freecodecamp;7;Html ;;;;
07/02/2023;Studying;freecodecamp;5;Html ;;;;
10/02/2023;Studying;freecodecamp;5;Html ;;;;
10/02/2023;Coding;local;1;;;;;
11/02/2023;Studying;freecodecamp;2;Html ;;;;
12/02/2023;Studying;freecodecamp;1;Html ;;;;
12/02/2023;Pairing;local;5;;;;;
13/02/2023;Studying;freecodecamp;4;Html ;;;;
14/02/2023;Studying;freecodecamp;9;Html ;;;;
15/02/2023;Studying;freecodecamp;4;Html ;;;;
16/02/2023;Studying;freecodecamp;7;Html ;;;;
18/02/2023;Studying;freecodecamp;4;Html ;;;;
19/02/2023;Studying;freecodecamp;4;Html ;;;;
19/02/2023;Pairing;local;3;;;;;
20/02/2023;Studying;freecodecamp;7;Html ;;;;
21/02/2023;Studying;freecodecamp;8;Html ;;;;
22/02/2023;Studying;freecodecamp;8;Html ;;;;
23/02/2023;Studying;freecodecamp;10;Html ;;;;
24/02/2023;Studying;freecodecamp;8;Html ;;;;
26/02/2023;Studying;freecodecamp;8;Html ;;;;
26/02/2023;Pairing;local;4;;;;;
27/02/2023;Studying;freecodecamp;7;Html ;;;;
28/02/2023;Studying;freecodecamp;5;Html ;;;;
01/03/2023;Studying;freecodecamp;5;Html ;;;;
01/03/2023;Pairing;local;2;;;;;
02/03/2023;Studying;freecodecamp;3;Html ;;;;
04/03/2023;Studying;freecodecamp;12;Html ;;;;
04/03/2023;Pairing;local;4;;;;;
05/03/2023;Studying;freecodecamp;4;Html ;;;;
06/03/2023;Studying;freecodecamp;1;Html ;;;;
08/03/2023;Studying;freecodecamp;3;Html ;;;;
09/03/2023;Studying;freecodecamp;3;Html ;;;;
10/03/2023;Studying;freecodecamp;2;Html ;;;;
11/03/2023;Studying;freecodecamp;5;Html ;;;;
12/03/2023;Studying;freecodecamp;4;Html ;;;;
12/03/2023;Pairing;local;4;;;;;
13/03/2023;Studying;freecodecamp;5;Html ;;;;
14/03/2023;Studying;freecodecamp;7;Html ;;;;
15/03/2023;Studying;freecodecamp;4;Html ;;;;
16/03/2023;Studying;freecodecamp;2;Html ;;;;
17/03/2023;Studying;freecodecamp;6;Html ;;;;
18/03/2023;Studying;freecodecamp;10;Html ;;;;
19/03/2023;Studying;freecodecamp;5;Html ;;;;
20/03/2023;Studying;freecodecamp;2;Html ;;;;
21/03/2023;Studying;freecodecamp;5;Html ;;;;
25/03/2023;Studying;freecodecamp;1;Html ;;;;
25/03/2023;Pairing;local;4;;;;;
27/03/2023;Studying;freecodecamp;1;Html ;;;;
29/03/2023;Studying;freecodecamp;7;Html ;;;;
31/03/2023;Studying;freecodecamp;3;Html ;;;;
03/04/2023;Studying;freecodecamp;7;Html ;;;;
05/04/2023;Studying;freecodecamp;4;Html ;;;;
06/04/2023;Studying;freecodecamp;8;Html ;;;;
07/04/2023;Studying;freecodecamp;4;Html ;;;;
10/04/2023;Studying;freecodecamp;1;Html ;;;;
10/04/2023;Pairing;local;2;;;;;
11/04/2023;Studying;datacamp;1;;;;;
12/04/2023;Studying;datacamp;3;;;;;
13/04/2023;Studying;datacamp;4;;;;;
14/04/2023;Studying;datacamp;3;;;;;
15/04/2023;Pairing;local;4;;;;;
17/04/2023;Coding;exercism;4;;;;;
18/04/2023;Coding;exercism;6;;;;;
18/04/2023;Pairing;local;3;;;;;
21/04/2023;Coding;exercism;5;;;;;
23/04/2023;Coding;exercism;5;;;;;
23/04/2023;Pairing;local;3;;;;;
24/04/2023;Coding;exercism;3;;;;;
25/04/2023;Coding;exercism;5;;;;;
27/04/2023;Coding;exercism;1;;;;;
28/04/2023;Coding;exercism;5;;;;;
30/04/2023;Pairing;local;5;;;;;
